iter	MultiClass
0	1.064381382
1	1.045857768
2	1.022247012
3	1.005712402
4	0.9784986855
5	0.9564588428
6	0.9321871286
7	0.9098896467
8	0.8866758301
9	0.8734982656
10	0.8599483671
11	0.8455199061
12	0.8295163662
13	0.8152710061
14	0.8014324759
15	0.7877243246
16	0.7678606757
17	0.7510924927
18	0.7365833901
19	0.7196988983
20	0.6993351802
21	0.6850384048
22	0.6737384788
23	0.6637599553
24	0.6519295405
25	0.6429156827
26	0.631521759
27	0.6170582186
28	0.605362588
29	0.5961907707
30	0.5879685255
31	0.5773419388
32	0.5698929731
33	0.560941333
34	0.5532277339
35	0.5422636826
36	0.530731904
37	0.5219558083
38	0.513885229
39	0.5045330484
40	0.4953227598
41	0.4868086632
42	0.4775288068
43	0.4707164835
44	0.4619147565
45	0.4544338391
46	0.4472284301
47	0.4427181009
48	0.4364345457
49	0.4293313281
50	0.4223125862
51	0.4148930646
52	0.4074662272
53	0.4010393079
54	0.3956868573
55	0.3900614531
56	0.3819760413
57	0.3767681548
58	0.3711150045
59	0.3639832834
60	0.3574098427
61	0.3525891727
62	0.3457885897
63	0.3392318479
64	0.331564264
65	0.3266592514
66	0.3218238721
67	0.3164099892
68	0.3126457261
69	0.306831922
70	0.3036372319
71	0.2970020682
72	0.2915693539
73	0.2866105595
74	0.2830961343
75	0.279289071
76	0.2766589719
77	0.2729150236
78	0.2696041859
79	0.2654288764
80	0.2610083281
81	0.2553065651
82	0.2492209619
83	0.2449212439
84	0.2419886137
85	0.2378446118
86	0.2335209022
87	0.2298337565
88	0.2277145693
89	0.2238908306
90	0.2191419086
91	0.2158736496
92	0.2114975407
93	0.2076456691
94	0.2039594002
95	0.1997253386
96	0.1961988016
97	0.1931668451
98	0.1910483742
99	0.1880883442
100	0.1843623483
101	0.1817775644
102	0.1786646667
103	0.1760799187
104	0.1736117373
105	0.1707086878
106	0.1687568042
107	0.1663571675
108	0.1636812058
109	0.1617187572
110	0.1596829635
111	0.1570026449
112	0.1553172781
113	0.1534242594
